sha256,case_ratio,characters_count,under_line_count,under_line_ratio,word_count,word_len_avg,operator_count,operator_ratio,string_variables,string_len_word_avg,string_word_ratio,comment_words_count,comment_lines_count,comment_len_word_avg,comment_char_entropy,code_words_count,code_lines_count,code_len_word_avg,code_char_entropy,arithm_funcs_ratio,type_convers_funcs_ratio,text_funcs_ratio,obfuscation_funcs_ratio,high_imp_funcs_ratio,auto_funcs_ratio,open_funcs_ratio,get_funcs_ratio,proces_inters_ratio,lines_count,character_entropy,url_count,macro_size,file_size,macro_file_ratio,amount_of_files,code_files
a7aa6e3ba284aa880b6d9f8f997392338c21a59b5d386887e24b15c3aa83cd5a,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,109568,0.003,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,15872,0.019,1,1
524664479ed26572a85942dff7112d8c1f1b112923d2935b11aded16265ac9d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206336,0,1,0
3faf405a39254a87b93914637d09f7a0f76a8c52cc356bac2be15788309466c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33792,0,1,0
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.608,0,0,0,0,0,0,0,0,0,8,4.608,0,294,20992,0.014,1,1
2c146792f025e2605d0e12cad497e2ef5cb37aebc3ba5ebd8fd921de20c19396,0.273,273,9,0.033,27,9.556,9,0.333,3,13.667,0.111,0,0,0,0,27,9,9.556,4.582,0,0,0,0,0,0,0,0,0,9,4.582,0,318,94720,0.003,2,2
a14034b0880d51574d08e07f6fcb10d3960ac7e823f8b63effb05b0e4057da09,0.313,26,1,0.038,3,7.667,1,0.333,1,7,0.333,0,0,0,0,3,1,7.667,4.181,0,0,0,0,0,0,0,0,0,1,4.181,0,31,96256,0,1,1
da94b784a09954ab27efc64c6e6a16f988fe6b26124a1f91ed9474ab2df76658,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,93696,0.003,1,1
87c2446ee7f1c834b04728468295165fb4c4c09105d80439f3518160194e544a,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,70656,0.004,1,1
7c3e77452d7ef64b8197228221bc8fda7d17b114b5c2e87d18fd23d2536e9267,0.285,307,9,0.029,33,8.667,9,0.273,4,11.5,0.121,0,0,0,0,33,12,8.667,4.749,0,0,0,0,0.03,0.03,0,0,0.03,14,4.749,0,369,31232,0.012,2,2
07d6b0dd4578c574e1995fd9a5ecacf1e1535edeecf1b8c4bf4286684ee8f3a8,0.261,308,8,0.026,30,9.767,9,0.3,2,16,0.067,0,0,0,0,30,11,9.767,4.713,0,0,0,0,0.033,0.033,0,0,0,13,4.713,0,362,35840,0.01,1,1
1265798d2e32249063d5d9a2e4cc48ec35431667f78890a2bad095314724ec43,0,44,0,0,6,7.333,0,0,0,0,0,0,0,0,0,6,2,7.333,3.516,0,0,0,0,0,0,0,0,0,2,3.516,0,52,12800,0.004,2,2
4dfcccec355ef26acdf717f6978736d760a1d671954aab5da05cb7eacc80db09,0.283,254,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.619,0,0,0,0,0,0,0,0,0,8,4.619,0,294,47616,0.006,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.621,0,0,0,0,0,0,0,0,0,8,4.621,0,299,35840,0.008,1,1
7cbff67444e84863df3434390568567ad5888285605ff19189be04f91e3f939c,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,349696,0.001,1,1
06a59b72738c1bfaa34c154b96752823155ca410ad5894dbb01342bc00adb668,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.632,0,0,0,0,0,0,0,0,0,8,4.632,0,299,391680,0.001,1,1
